TimeWIB,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC
6:00 AM,24.0,23.0,94,1012,3.0,Calm,Calm,-,N/A,,Haze,0,2015-02-03 23:00:00
7:00 AM,25.0,23.0,89,1013,4.0,Calm,Calm,-,N/A,,Haze,0,2015-02-04 00:00:00
8:00 AM,26.0,23.0,83,1014,4.0,Calm,Calm,-,N/A,,Haze,0,2015-02-04 01:00:00
9:00 AM,28.0,24.0,79,1015,4.0,NW,9.3,-,N/A,,Haze,320,2015-02-04 02:00:00
10:00 AM,29.0,24.0,74,1014,4.0,WNW,13.0,-,N/A,,Haze,300,2015-02-04 03:00:00
11:00 AM,28.0,24.0,79,1014,4.0,NW,13.0,-,N/A,,Haze,310,2015-02-04 04:00:00
12:00 PM,29.0,24.0,74,1013,5.0,NNW,20.4,-,N/A,,Haze,330,2015-02-04 05:00:00
1:00 PM,29.0,24.0,74,1012,5.0,NW,20.4,-,N/A,,Haze,320,2015-02-04 06:00:00
2:00 PM,29.0,24.0,74,1011,5.0,NW,22.2,-,N/A,,Haze,310,2015-02-04 07:00:00
3:00 PM,30.0,24.0,70,1010,5.0,WNW,18.5,-,N/A,,Haze,300,2015-02-04 08:00:00
4:00 PM,30.0,24.0,70,1010,5.0,NW,16.7,-,N/A,,Haze,320,2015-02-04 09:00:00
5:00 PM,29.0,24.0,74,1010,5.0,NW,13.0,-,N/A,,Haze,320,2015-02-04 10:00:00
6:00 PM,29.0,23.0,70,1011,5.0,WNW,9.3,-,N/A,,Haze,300,2015-02-04 11:00:00
